Date,Open,High,Low,Close
2019-07-01,230.210007,233.100006,226.279999,227.169998
2019-07-02,228.889999,229.149994,222.220001,224.550003
2019-07-03,239.389999,241.570007,234.509995,234.899994
2019-07-05,234.570007,235.449997,230.800003,233.100006
2019-07-08,231.240005,232.25,228.660004,230.339996
2019-07-09,228.970001,231,227.279999,230.059998
2019-07-10,234.149994,238.940002,233.139999,238.919998
2019-07-11,238.139999,241.5,235.800003,238.600006
2019-07-12,239.75,245.380005,239.710007,245.080002
2019-07-15,248,254.419998,244.860001,253.5
2019-07-16,249.300003,253.529999,247.929993,252.380005
2019-07-17,255.669998,258.309998,253.350006,254.860001
2019-07-18,255.050003,255.75,251.889999,253.539993
2019-07-19,255.690002,259.959991,254.619995,258.179993
2019-07-22,258.75,262.149994,254.190002,255.679993
2019-07-23,256.709991,260.480011,254.5,260.170013
2019-07-24,259.170013,266.070007,258.160004,264.880005
2019-07-25,233.5,234.5,225.550003,228.820007
2019-07-26,226.919998,230.259995,222.25,228.039993
2019-07-29,227.089996,235.940002,226.029999,235.770004
2019-07-30,232.899994,243.360001,232.179993,242.259995
2019-07-31,243,246.679993,236.649994,241.610001
2019-08-01,242.649994,244.509995,231.770004,233.850006
2019-08-02,231.350006,236.270004,229.229996,234.339996
2019-08-05,229.600006,231.369995,225.779999,228.320007
2019-08-06,231.880005,232.5,225.75,230.75
2019-08-07,226.5,233.570007,225.800003,233.419998
2019-08-08,234.449997,239.800003,232.649994,238.300003
2019-08-09,236.050003,238.960007,233.809998,235.009995
2019-08-12,232.990005,235.770004,228.75,229.009995
2019-08-13,228.809998,236,227.550003,235
2019-08-14,231.210007,231.5,216.690002,219.619995
2019-08-15,220.860001,221.559998,211.550003,215.639999
2019-08-16,216.660004,222.240005,216.020004,219.940002
2019-08-19,224.210007,227.830002,221.699997,226.830002
2019-08-20,227.619995,229.089996,224.539993,225.860001
2019-08-21,222.009995,223.220001,217.600006,220.830002
2019-08-22,222.800003,225.399994,218.220001,222.149994
2019-08-23,219.970001,221.169998,211,211.399994
2019-08-26,213.600006,215.020004,211.539993,215
2019-08-27,215.740005,218.800003,212.029999,214.080002
2019-08-28,213.690002,217.25,212.309998,215.589996
2019-08-29,219,223.399994,218,221.710007
2019-08-30,229.149994,232.440002,224.210007,225.610001
2019-09-03,224.080002,228.949997,223.160004,225.009995
2019-09-04,226.889999,228.460007,219.210007,220.679993
2019-09-05,222.5,229.800003,220.850006,229.580002
2019-09-06,227.199997,229.639999,225.169998,227.449997
2019-09-09,230,233.759995,229.229996,231.789993
2019-09-10,230.800003,235.539993,228.940002,235.539993
2019-09-11,237.380005,248.169998,236,247.100006
2019-09-12,247.699997,253.5,244.399994,245.869995
2019-09-13,246.960007,248.449997,244.869995,245.199997
2019-09-16,246,247.429993,241.169998,242.809998
2019-09-17,242.470001,245.600006,240.369995,244.789993
2019-09-18,245,248.169998,242.369995,243.490005
2019-09-19,246,247.940002,244.839996,246.600006
2019-09-20,246.490005,246.949997,238.160004,240.619995
2019-09-23,240,245.179993,239.220001,241.229996
2019-09-24,241.520004,241.990005,222.610001,223.210007
2019-09-25,224.559998,228.979996,218.360001,228.699997
2019-09-26,230.660004,243.309998,227.399994,242.559998
2019-09-27,242.199997,248.710007,238.729996,242.130005
2019-09-30,243,243.979996,236.110001,240.869995
2019-10-01,241.5,245.949997,239.130005,244.690002
2019-10-02,243.289993,244.649994,239.429993,243.130005
2019-10-03,231.860001,234.479996,224.279999,233.029999
2019-10-04,231.610001,234.779999,228.070007,231.429993
2019-10-07,229.800003,238.559998,228.550003,237.720001
2019-10-08,235.869995,243.940002,234.5,240.050003
2019-10-09,241.320007,247.300003,240.649994,244.529999
2019-10-10,245.279999,249.279999,241.580002,244.740005
2019-10-11,247.149994,251.080002,246.809998,247.889999
2019-10-14,247.899994,258.549988,247.130005,256.959991
2019-10-15,257.700012,260,254.119995,257.890015
2019-10-16,257.390015,262.100006,256.920013,259.75
2019-10-17,262.5,264.779999,260.170013,261.970001
2019-10-18,260.700012,262.799988,255.100006,256.950012
2019-10-21,258.329987,259.5,250.179993,253.5
2019-10-22,254.320007,258.329987,250.850006,255.580002
2019-10-23,254.5,256.140015,251.350006,254.679993
2019-10-24,298.369995,304.929993,289.200012,299.679993
2019-10-25,297.720001,330,296.109985,328.130005
2019-10-28,327.540009,340.839996,322.600006,327.709991
2019-10-29,319.98999,324.299988,314.75,316.220001
2019-10-30,313,318.790009,309.970001,315.01001
2019-10-31,313.100006,319,313,314.920013
2019-11-01,316.320007,316.480011,309.799988,313.309998
2019-11-04,314.799988,321.940002,309.26001,317.470001
2019-11-05,319.619995,323.51001,316.119995,317.220001
2019-11-06,318,326.720001,314.5,326.579987
2019-11-07,329.140015,341.5,328.019989,335.540009
2019-11-08,334.5,337.459991,332.5,337.140015
2019-11-11,343.950012,349.190002,342,345.089996
2019-11-12,346.899994,350.369995,344.040009,349.929993
2019-11-13,355,356.329987,345.179993,346.109985
2019-11-14,346.109985,353.839996,342.910004,349.350006
2019-11-15,350.640015,352.799988,348.359985,352.170013
2019-11-18,352.920013,353.149994,346.100006,349.98999
2019-11-19,351.75,359.98999,347.799988,359.519989
2019-11-20,360,361.200012,349.570007,352.220001
2019-11-21,354.51001,360.839996,354,354.829987
2019-11-22,340.160004,341,330,333.040009
2019-11-25,344.320007,344.570007,334.459991,336.339996
2019-11-26,335.269989,335.5,327.100006,328.920013
2019-11-27,331.119995,333.929993,328.570007,331.290009
2019-11-29,331.109985,331.26001,327.5,329.940002
2019-12-02,329.399994,336.380005,328.690002,334.869995
2019-12-03,332.619995,337.910004,332.190002,336.200012
2019-12-04,337.75,337.859985,332.850006,333.029999
2019-12-05,332.829987,334.420013,327.25,330.369995
2019-12-06,335,338.859985,334.769989,335.890015
2019-12-09,336.589996,344.450012,335.079987,339.529999
2019-12-10,339.959991,350.730011,339.309998,348.839996
2019-12-11,351.880005,357.190002,351.089996,352.700012
2019-12-12,354.920013,362.73999,353.230011,359.679993
2019-12-13,361.049988,365.209991,354.640015,358.390015
2019-12-16,362.549988,383.609985,362.5,381.5
2019-12-17,378.98999,385.5,375.899994,378.98999
2019-12-18,380.630005,395.220001,380.579987,393.149994
2019-12-19,397.320007,406.850006,396.5,404.040009
2019-12-20,410.290009,413,400.190002,405.589996
2019-12-23,411.779999,422.01001,410,419.220001
2019-12-24,418.359985,425.470001,412.690002,425.25
2019-12-26,427.910004,433.480011,426.350006,430.940002
2019-12-27,435,435.309998,426.109985,430.380005
2019-12-30,428.790009,429,409.26001,414.700012
2019-12-31,405,421.290009,402.079987,418.329987
2020-01-02,424.5,430.700012,421.709991,430.26001
2020-01-03,440.5,454,436.920013,443.01001
